ඒ.එච්.එම්.එච්. අබයරත්න
පැල්පොල ජෝර්ජ් නිශ්ශංක මහසන්
පැල්පොල රිචඩ් ස්ටැන්ලි
පෙරමුණ සරත්චන්ද්‍ර
පෙරේරා දිවාන් බහදූර් ඉග්නේෂස් සේවියර්
පෙරේරා අරකහගොඩගේ ඇලෝසියස් රෙජිනෝල්ඩ්
පෙරේරා සිරිල් අර්නස්ට් ස්ටැන්ලි
පෙරේරා ඩික්සන් ජේ
පෙරේරා එඩ්වඩ් වෝල්ටර්
පෙරේරා එල්ලුප්පිටියමුදියන්සේලාගේ පීටර් පෝල්
පෙරේරා ගලප්පටි කංකානගේ විලියම්
පෙරේරා ගමමැදලියනගේ ජෝන් පැරිස්
පෙරේරා ජේ අසිත
පෙරේරා කැනහේල බණ්ඩාරලාගේ ලිලන්ත
පෙරේරා කසදොරුගේ වින්සන්ට්
පෙරේරා කෝන්ගහකංකානමගේ දොන් ඩේවිඩ්
පෙරේරා කොස්වත්තගේ එඩ්මන්ඩ්
පෙරේරා ලියන අන්දරගේ බර්නාඩ් (LAB)
පෙරේරා මැතිව් වින්සන්ට්
පෙරේරා මයිකල් ෆෙස්ටස් වෙන්සස්ලස්
පෙරේරා නානායක්කාරපතිරගේ මාර්ටින් (ආචාර්ය)
පෙරේරා ඕවිටිගලගේ සෝමදාස
පෙරේරා රණවක ආරච්චිගේ ආතර් රෙජිනෝල්ඩ්
පෙරේරා රණවකආරච්චිගේ සොලමන්
පෙරේරා විල්මට් ඒබ්‍රහම්
පීරිස් පට්ටියපතිරැන්නැහැලගේ ඇල්බට් ෆෙඩ්රික් (සර්)
පෙරියසාමි චන්ද්‍රසේකරන්
පර්පෙටුව සුදර්ශිනී ප්‍රනාන්දුපුල්ලේ
පෙරුමාල්පිල්ලේ රාධක්‍රිෂ්ණන්
පැටිකිරිගේ දයාරත්න
පිලිප්ස් කුමාරසිංහ ශ්‍රී ලියනගේ
පිලපිටිය අබේරත්න බණ්ඩාර හේරත්
පියදාස අබේනායක
පියදාස සුදුවැලි කොණ්ඩගේ
පියංකර ජයරත්න
පියසිරි හඳුන්ර්ති රන්නුලු
පියසෝම උපාලි අදිකාරි මුදියන්සේලාගේ
පොහොලියද්දේ දිසාව ටිකිරි බණ්ඩා
පොල්ගම්පල රාලලාගේ චමින්ද අනුරුද්ධ පොල්ගම්පල
පොන්නම්බලම් ගණපතිපිල්ලේ ගංගසේර්
පොන්නම්පලම් සෙල්වරාසා
පෝලියර් රෙජිනෝල්ඩ් සිඩ්නි වර්නන්
ප්‍රසන්න රණතුංග
ප්‍රසන්න රණවීර බුලත්වලගේ
ප්‍රදීප් සමන් කුමාර උඩුගොඩ රූපසිංහගේ
ප්‍රේමචන්ද්‍ර ආරච්චි මුදියන්සේලාගේ මුනිදාස
ප්‍රේමචන්ද්‍ර භාරත ලක්ෂ්මන්
ප්‍රේමචන්ද්‍ර හපුගොඩ රන්කොත්ගේ උදයප්‍රේම
ප්‍රේමදාස රණසිංහ
ප්‍රේමරත්න දොන් සිමන් රාලලාගේ ශාන්ත
ප්‍රේමරත්න එදිරිවීර
ප්‍රේමරත්න මිරිහානගේ දොන්
ප්‍රේමතිරත්න කරුණාමුණි ලලින් ඔලිත ද සිල්වා
ප්‍රේමිත බණ්ඩාර තෙන්නකෝන්
ප්‍රේම්නාත් සී දොලවත්ත
පුලේන්ද්‍රන් රාසා මනෝහාරි (මිය)
පුංචි බණ්ඩාර රත්නායක මුදියන්සේලාගේ
පුංචිහේවා සාන්තකුමාර
පුංචිනිලමේ ගල්ගමුව විදානේලගේ
පුෂ්පකුමාර ඩබ්ලිව්.පී.එස්.
පුත්තිරසිගමනී වඩිවෙල්
ආර් යෝගරාජන්
ආර්.බී.පාලිත රංගේ බණ්ඩාර
ආර්.ඩී.විමලදාස
ආර්.එම්. පද්ම උදය ශාන්ත ගුණසේකර
ආර්.එම්.සී.බී. රත්නායක
ආර්.එම්.එස්.බී. නාවින්න
ආර්.පී.ඒ. රණවීර පතිරණ
ආර්.ආර්.එම්. එරික් ප්‍රසන්න වීරවර්ධන
රදම්පල ගමගේ ශ්‍රියානි විජේවික්‍රම
රහීම් සෙයියාදු අබ්දුල්
රාජා මන්ත්‍රීලාගේ තිලක් රාජපක්ෂ
රාජදුරෙයි චෙල්ලයියා
රාජකරුණා මොහොට්ටි අප්පුහාමිලගේ සරත් චන්ද්‍ර රාජකරුණා
රාජකරුණා රාජකරුණා මුදියන්සේලාගේ ජයසේන
රාජකුලේන්ද්‍රන් ජෝන් ග්ලැඩ්ස්ටන්
රාජලිංගම් කාලිමුත්තු
රාජන් ආශිර්වතම් මාසිලමනි ඩැනියෙල්
රාජපක්ෂ මොහොට්ටිගේ දොන් සුරනිමල් රාජපක්ෂ
රාජපක්ෂ දැදිගම දේවගේ ලිලියන් ලෙටීෂියා (මිය)
රාජපක්ෂ දොන් ඇල්වින්
රාජපක්ෂ දොන් මැතිව්
රාජපක්ෂ ජෝර්ජ්
රාජපක්ෂ ලක්ෂ්මන්
රාජපක්ෂ රාජපක්ෂ දේවගේ රණපාල විජයවර්ධන
රාජපක්ෂ ඇලෙක්සැන්ඩර් එඩ්මන්ඩ් ද සිල්වා විජේගුණරත්න එස්.
රාජපක්ෂ දොන් රෝයි සෙෆ්රින්
රාජපක්ෂ ගාමිණී
රාජපක්ෂ ලයනල්
රාජපක්ෂ වාසල තෙන්නකෝන් මුදියන්සේලාගේ රංජිත් බණ්ඩාර
රාජරත්න කෝනාර මුදියන්සේලාගේ පොඩිඅප්පුහාමි
රාජරත්න කුසුමා
රාජරත්නම් සිවසාමි
රාජරත්නම් ටී.ඩබ්ලිව්.
රාජවරෝතයම් සම්බන්ධන්
රාජවරෝතියම් නවරත්නම් රත්න
රජීව විජේසිංහ
රාජිකා වික්‍රමසිංහ
රාජිත සේනාරත්න
රාමලිංගම් මලයප්පන්
රාමලින්කම් තමෝතරපිල්ලේ
රාමමූර්ති රාජේන්ද්‍රන්
රාමනුජම් දේසිගර්
රඹුක්පොට ජෝර්ජ් ක්‍රිස්ටෝපර්
රඹුක්පොට සෙනෙවිරත්න මුදියන්සේලාගේ ජස්ටින් ආතර්
රඹුක්වැල්ල දිසාව එච්.ඊ.ඩබ්ලිව්.එම්.හේරත් බණ්ඩා
රමේෂ් පතිරණ
රාමේෂ්වරන් රාජේන්ද්‍රන්
රණරාජා පුංචි බණ්ඩා
රණරාජා ෂෙල්ටන්
රණසිංහ ආතර් ජයසේන
රණසිංහ සුනේත්‍රා (මිය)
රණතුංග ආරච්චිගේ ටියුඩර් දයාරත්න
රණතුංග චන්ද්‍රදාස
රණතුංග රණතුංග මුදියන්සේලාගේ ඩිංගිරි බණ්ඩා
රණතුංග විජයසුන්දර බණ්ඩාර
රණවක ජයසිරි සරත් කුමාර
රණවීර ආරච්චිගේ ජයතිස්ස
රණවීර ඩොනල්ඩ් ජේසන්
රණවීර විතානගේ සුනිල් ශාන්ත
රන්දෙණිය රවීන්ද්‍ර
රනිල් වික්‍රමසිංහ
රංජිත් සියඹලාපිටිය
රංජිත් වෑකඩ විතාරණගේ මොහිමන්
රාසලිංගම් තම්බිපිල්ලේ
රාසමානික්කම් අලගයියා හෙවත් රාජමානික්කම්
රාසමානික්කම් සින්නප්පු මූතතම්බි
රස්නායක මුදියන්සේලාගේ සංජීව බණ්ඩාර කවිරත්න
රාසු කුගනේෂ්වරන්
රත්නායක රත්නායක මුදියන්සේලාගේ ගාමිණී
රත්නම් කතිගේසර් පොන්නම්බලම්
රත්නමලල රන් බණ්ඩා
රත්නපාල අමරදාස (ආචාර්ය)
රත්නරාජා සිවප්‍රගාසම්
රත්නසිරි වික්‍රමනායක
රත්නායක මුදියන්සේලාගේ ආනන්ද සරත් කුමාර රත්නායක.
රත්නායක මුදියන්සේලාගේ අප්පුහාමි
රත්නායක මුදියන්සේලාගේ ධර්මදාස බණ්ඩා
රත්නායක අමරානන්ද
රත්නායක දිසාවේ මුදියන්සේලාගේ හේමා (මිය)
රත්නායක කිරි බණ්ඩා
රත්නායක පහළ රැල්ලේ
රත්නායක රත්නායක මුදියන්සේලාගේ
රත්නායක රත්නායක මුද්‍යන්සේලාගේ කළුබණ්ඩා
රත්නායක රත්නායක වාසල මුදියන්සේලාගේ අබේරත්න
රත්නායක සේපාල විලියම් ඩයිනේරිස්
රත්නායක වික්ටර් ගාර්වින් වීරවර්ධන
රත්වත්තේ අඩිගාර් ජයතිලක චූඩා
රත්වත්තේ අනුරුද්ධ
රත්වත්තේ ක්ලිෆර්ඩ් සේනක
රත්වත්තේ මල්ලිකා එල්ලාවල (මිය)
රත්වත්තේ විජේසුන්දර සෙනිවිරත්න පී.ඒ.බී.ඩබ්ලිව්.එම්.ඩබ්ලිව්.එච්.එල්.
රත්වත්තේ විල්ෆ්‍රඩ් අබේරත්න
රවීන්ද්‍ර සමරවීර
රෙජී පද්මසේන රණතුංග
රෙජිනෝල්ඩ් කුරේ
රැකව ආරිය බණ්ඩාර
රිචඩ් බෙන්තොට පතිරණ
රොබට්සන් ඇලෙක්
රුද්‍රිගු ජෝසප් එමානුවල් ජෝන්
රෝහණ දිසානායක
රොමානිස් අරුම උපාසකගේ
රූපසිංහ ආරච්චිගේ දොන් සිරිසේන
රූපසිංහ දොන් ජයවික්‍රමගේ නීල්
රුවන් රණතුංග
එස් සී මුතුකුමාරණ
එස් ජගත් සමරවික්‍රම
එස් එම් චන්ද්‍රසේන
එස් නොහාරතලිංගම්
එස් වියලන්දෙරන්
එස්.ඒ ජයන්ත
එස්.බී. දිසානායක ය
සද්ධාසේන මාදූවේ හේවා
Safiul Muthunabeen Mohamed Muszhaarff
සාගල ගජේන්ද්‍ර රත්නායක
සජින් ද වාස් ගුණවර්ධන
සකලසූරිය සකලසූරිය අප්පුහාමිලාගේ සර්දතිස්ස
සල්දීන් මොහොමඩ් කාලිඩ්
සාලින්ද දිසානායක
සමන්ප්‍රිය හේරත්
සමරක්කොඩි එඩ්මන්ඩ් පීටර්
සමරක්කොඩි සිරිපාල
සමරක්කොඩි ස්ටීවන් වෝල්ටර්
සමරනායක පුන්සිරි සේනාරාජා පෙරේරා
සමරනායක රිචඩ් ග්‍රෙගරි
සමරසේකර සේනපාල
සමරසිංහ දොන් සේනාධිර
සමරසිංහ ඉයුජින් අල්විස්
සමරසිංහ ගලේවත්තගෙදර විජයසිරි
සමරසිංහ හඩ්සන්
සමරවීර මහානාම
සමරවීර පොල්වත්තේ සමරවීර අරච්චිලගේ පර්සි
සමරවීර උපාලි ඩෙල්ටන්
සමරවීර වීරවන්නි මුදියන්සේලාගේ
සමරවික්‍රම ආතර් එඩ්මන්ඩ්
සමිත හාමුදුරුවො බද්දේගම
සම්පත් අතුකෝරල
සම්සුදීන් අලිතුමා ලෙබ්බේ මොහොමඩ්
සනත් ජයසූරිය
සනත් නිශාන්ත
සන්දිත් සමරසිංහ
සනී රෝහණ
සංජීව එදිරිමාන්න
සංකරන් කන්දියා
සරණ ගුප්ත ගුණවර්ධන
සරත් අමුණුගම
සරත් චන්ද්‍රසිරි මායාදුන්නේ
සරත් වීරසේකර
සරවනමුත්තු නයිසුම් (මිය)
සරවනමුත්තු රත්නජෝති (ආචාර්ය)
සතාසිවම් කනගරත්නම්
Schneider Gualterus Stewart (Sir)
ෂොක්මන් විවියන් රෝයි ස්ටැන්ලි (ආචාර්ය)
සෙබස්තියන්පිල්ලේ එඩ්වඩ්
සීනි මොහොමඩ් මොහොමඩ් ඉස්මයිල්
සීනිතම්බි යෝගේස්වරන්
සෙල්ලතඹු සේවියර් මාර්ක්
සෙල්වදුරෙයි නෙවින්ස්
සෙල්වනායගම් කනපති
සෙල්වනායගම් ප්‍රින්ස්ලි රාජේන්ද්‍රන්
සෙල්වරාසා ගජේන්ද්‍රන්
සෙල්වෙස්ත්‍රි ඇලන්ටින්
සේමසිංහ අප්පුහාමිගේ හේරත් බණ්ඩා
සේනාධීර බන්දුලහේවා
සේනාධීර දයා සේපාලි (මිය)
සේනාලංකාධිකාර ගනොග්දවිලගේ අමල් දිවහන්ත
සේනානායක වසන්ත හරේෂ් ප්‍රක්‍රම
සේනානායක රත්න දේශප්‍රිය
සේනානායක ආතර් හෙක්ටර්
සේනානායක ඩේසි මරියා ෆ්ලෝරන්ස් (මිය)
සේනානායක ධර්මසිරි
සේනානායක දොන් ස්ටීවන් (විශ්‍රාමික ගරු)
සේනානායක ඩඩ්ලි ෂෙල්ටන්
සේනානායක එඩ්වඩ් ලයනල්
සේනානායක මෛත්‍රීපාල
සේනානායක රිචඩ් ගෝඨාභය
සේනානායක විල්ෆ්‍රඩ්
සේනාධිරාජා ජෙයානන්දමූර්ති
සෙනෙවිරත්න සිරිල් පින්ටෝ ජයතිලක (නායක)
සෙනෙවිරත්න දිසානායක මුදියන්සේලාගේ
සෙනෙවිරත්න නිස්සංග අරච්චිලගේ
සෙනෙවිරත්න සෙනෙවිරත්න කන්නන්ගරගේ ෂර්ලි මහින්ද
සෙනන් වීර
සේතපනගේ අප්පුහාමි රාලලාගේ මද්දුමබණ්ඩාර
සෙයිද් අලවි මවුලානා
ශාන් විජයලාල් ද සිල්වා
ෂන්මුගම් ජෙගදීස්වරන්
ෂන්මුගනාදන් සරවනභාවනාදන්
ශාන්ත බණ්ඩාර
ශාන්ති ශ්‍රීස්කන්දරාසා
ශෂීන්ද්‍ර රාජපක්ෂ
ෂෙහාන් සේමසිංහ
ශිවාජි රුක්මන් සේනානායක
ශිවසුන්දරම් අප්පුකුට්ටි
සිහාබ්දීන් නිජාමුදීන්
සිල්වා ඇන්තනි එමානුවෙල්
සිල්වා හිරිපිටියගේ මෛත්‍රීපාල උපතිස්ස
සිල්වා කෝට්ටුරුගේ පබ්ලිස්
සිල්වා පලහැන්නදි හේවගේ චාල්ස්
සිල්වා සම්පත්වඩුගේ ස්ටීවන් ඇන්තනි
සිල්වා සැම්සන්
සිල්වා විජේවීර ගුණවර්ධන මහවිදානගේ ඇල්බට්
සිංගල්ටන්-සල්මන් රොබට්
සින්නලෙබ්බේ අබ්දුල් ලතීෆ්
සින්නලෙබ්බේ අහමඩ් රිස්වි
සින්නලෙබ්බේ අහමඩ්ලෙබ්බේ (මුදලියාර්)
සිරි ඇලෙක්සැන්ඩර් අන්ද්‍රහැන්නඩි
සිරිනාල් ද මෙල්
සිරිපාල අමරසිංහ
සිරිසේන දූල්වල ගලපිටගේ හේමචන්ද්‍ර
සිරිසේන හේවා ගම්පොලගේ
සිරිසේන ජසෙන්තු ලියන
සිරිසේන වංශපුර ආරච්චිගේ ආනන්ද
සිරිවර්ධන හෙක්ටර් ද සොයිසා
සිරිවර්ධන මයිකල් පෝල් ද සොයිසා
සිසිර ජයකොඩි
සිත්තම්පලම් කතිරවේලු
සිවලිංගම් මුත්තු
සිවමහාරාසා සින්නතම්බි
සිවනාදන් කිෂෝර්
සිවනේසතුරෙයි ශාන්තිරකාන්තන්
සිවපාලන් සුබ්‍රමනියම්
සිවප්‍රකාශම් සිවමෝහන්
සිවසිතම්පරම් තමෝතරම්පිල්ලේ
සිවතාසන් සංගරපිල්ලේ
සොලමන් එස් සිරිල්
සෝමබන්දු හපුගොඩ රාජපක්ෂ වන්නකු මුදියන්සේලාගේ ගුණපාල
සෝමකුමාරි තෙන්නකෝන්
සෝමපාල ඉලුක්පිටියේ ගෙදර සෙනෙවිරත්න ආරච්චිගේ
සෝමරත්න අශෝකවීර
සෝමරත්න සෙනරත්
සූසයිතාසන් පිලේසියන් සොසෙයි
සෞන්දරරාජා ගුණසීලන්
සෞන්ද්‍රනායගම් ඈෂ්ලි නිමලනායගම්
සොයිසා බර්නාඩ්
සොයිසා වරුසහැන්නදිගේ ඒබ්‍රහම් බැස්ටියන් (සර්)
ස්පෙන්සර් එඩ්ගර් අර්නස්ට්
ශ්‍රී නිශ්ශංක හර්බට්
ශ්‍රී පත්මනාදන් රත්නසබාපති
ශ්‍රී රංග ජෙයරත්නම්
ශ්‍රීකාන්ත නල්ලතම්බි
ශ්‍රීනිවාසන් කනපතිපිල්ලේ
ශ්‍රීපති සූරියආරච්චි
ස්ටුවර්ට් ජෝර්ජ් කිං
ස්ටුවර්ට්-ස්මිත් ඩඩ්ලි කෝට්ලි
සුබසිංහ කංකානම්ලාගේ සුබසිංහ
සුබසිංහ සුබසිංහ මුදියන්සේලාගේ ටිකිරි බණ්ඩා
සුබ්බියා සංගරලිංගම් මුනියන්ඩි පිල්ලේ
සුබ්‍රමනියම් මුත්තු කැනපතිපිල්ලේ
සුබ්‍රමනියම් මයිල්වාගනම් මුදලියාර්
සුදත් මංජුල
සුද්දච්චාරිගේ ප්‍රේමරත්න
සුගතදාස කිතලාව ආරච්චිලාගේ සෙනරත්
සුගතදාස කුමාර විදානේලාගේ දොන්
සුගතදාස විතාන ආරච්චිගේ
සුමනතිලක පියදිගමගේ ප්‍රේමචන්ද්‍ර
සුමතිපාල සුබසිංහ මුදියන්සේලාගේ ප්‍රේමරත්න
සුමතිරත්න පියවීර
සුමේධා ජී ජයසේන
සුන්දරම් පෙරුමාල් රාජදුරෙයි
සුන්දරම් පෙරියානන්
සන්තෙරලිංගම් චෙල්ලප්පා
සුප්පයිහ් සතාසිවම්
සුරවීර අලංකාරගේ වික්ටර් (මහාචාර්ය)
සුරේන්ද්‍ර රාගවන්
සූරියආරච්චි සූරියආරච්චි කංකානමාලගේ කරුණාදාස
සුසන්ත ගල්ගමුව පුංචිනිලමේ
සුසිල් ප්‍රේමජයන්ත
තම්බිමුත්තු එමානුවෙල් රාසනායගම්
තම්බිමුත්තු සැමුවෙල් පෙනිංටන් තවරාසා
තෙන්නකෝන් මුදියන්සේ
තෙන්නකෝන් පියසේන
තෙන්නකෝන් තිළිණ බණ්ඩාර
තෙන්නකෝන් යසරත්න බණ්ඩාර
ටෙනේ හෙන්රි බර්නාඩ්
තෙන්නකෝන් පතිරාජ මුදියන්සේලාගේ කපුරුහාමි
තෙන්නකෝන් රන් බණ්ඩා
තෙන්නකෝන් රෙජිනෝල්ඩ් විල්ෆ්‍රඩ්
තෙන්නකෝන් රෝලන්ඩ් ස්ටීවන්
තෙන්නකෝන් ටිකිරි බණ්ඩා තලතා අතුකෝරල
තම්බයියා ඇල්ෆ්‍රඩ් ලියෝ
තම්බිරාජා සෝමසුන්තෙරම්
තඹුගල තඹුගල අතුකෝරලලාගේ සුමනතිස්ස
තංගතුරෙයි අරුණාසලම්
තංගවඩිවේල් තම්බිරාජා
තංගවේල් සින්නයියා
තාරක බාලසූරිය
තරුමලිංගම් සිත්තරත්තන්
තවරාජා කලයි අරසන්
තවරාජා සින්නදුරෙයි
තේමිස් මැනුවෙල් සවාරියප්පා
තෙවරප්පෙරුම තෙවරප්පෙරුම ආරච්චිලාගේ කරුණාසිංහ
ත්‍යාගරාජා ආරුමුගම්
තිලක් ජනක මාරපන
තිලකරාජා මයිල්වාගනම්
තිලකසේකර රයිටර්
තිලකසිරි අන්දරගේ දොන් ගාමිණී
තිලංග සුමතිපාල
තිල්ලනාදන් කේ.
තිරිමාදුර රංජිත් ද සොයිසා
තිරුනාවුකරසු තමෝදරම්පිල්ලෙයි
තිස්ස විජයරත්න කරල්ලියද්ද
තිවියනාදන් ජෙයරත්නම්
තොණ්ඩමන් වී.ඊ.කේ.
ආර් සවුමියමූර්ති
තවුෆීක් කබීබ් මොහොමඩ්
තුරෙයිරාසසිංහම් ක්‍රිෂ්ණපිල්ලෙයි
තුරෙයිරත්නම් කතිරිපිල්ලේ
තුරෙයිරත්නසිංහම් කතිර්ගමතම්බි
තුෂාර ඉඳුනිල් අමරසේන
තුසිත විජේමාන්න
ටිකිරි බණ්ඩා වීරකෝන් මුදියන්සේලාගෙදර කුඹුරේ ගෙදර
තිලකරත්න මානික්‍රලාගේ
තිලකරත්න දොන් එඩ්වින්
තිලකරත්න වන්නිආරච්චිගේ දොන් ස්ටැන්ලි
ටිරාන් අලස්
තිරුචෙල්වම් නීලකන්දන්
තිස්ස අත්තනායක
තිස්ස විතාරණ
තිස්සකුට්ටි ආරච්චි ගුණපාල
තිසේරා වර්ණකුලසූරිය මානික්කුගේ ඇන්ටන් සුගත්
තිසේරා වර්ණකුලසූරිය පිලිප් ඇන්ටනි ප්‍රෝටස්
තුඩාවේ බාලඋපාසකගේ යසෝදිස්
ත්‍යාගරාජා ජගනාදන්
යු.කෙ. සුමිත් උඩුකුඹුර
උදය ගම්මන්පිල
උදයකාන්ත ගුණතිලක
උදයන කිරිඳිගොඩ
උදයරත්න වික්‍රමතිලක වෙදආරච්චිලාගේ ගොඩ්ෆ්‍රි වසන්ත
උද්දික ප්‍රේමරත්න
උදිත් සංජය ලොකුබණ්ඩාර විජේසිංහ ජයවීර මුදියන්සේලාගේ
උඩුගම ඇලෙක්සැන්ඩර් රිචඩ් (මේජර් ජෙනරාල්)
උනයිස් ෆාරුක්
උනම්බෝවේ උක්කු බණ්ඩා
උනන්තැන්නේ පුංචි බණ්ඩා
උපේක්ෂා ස්වර්ණමාලිනී
උපුල් මහේන්ද්‍ර රාජපක්ෂ
උපුල් සංජීව ගලප්පත්ති
උතුමාලෙබ්බේ මොහොමඩ් ඉබ්‍රලේබේ
වඩිවේලු සුරේෂ්
වන්නිආරච්චි පවිත්‍රා දේවි
වන්නියසිංහම් කුමාරස්වාමි
වාසුදේව නානායක්කාර
වීරසිංහම් ආනන්දසංගරී
වීරසිංහම් විශ්වලිංගම්
වේලු කුමාර
වේලුපිල්ලේ කැනප්පෙන් වේලුසිංහම්
හාමුදුරුවෝ. අපරැක්කේ පුන්නානන්ද හිමි
හාමුදුරුවෝ. එල්ලාවල මේධානන්ද හිමි
හාමුදුරුවෝ. කතළුවේ රතනසීහ හිමි
හාමුදුරුවෝ. කොටපොල අමරකිත්ති හිමි
හාමුදුරුවෝ. උඩවත්තේ නන්ද හිමි
හාමුදුරුවෝ. උඩුවේ ධම්මාලෝක හිමි
විදුර වික්‍රමනායක
විග්නේෂ්වරන් කාසිලිංගම්
විජිත් විජයමුණි සොයිසා
විජිත බේරුගොඩ
විජිත රණවීර
විනයාගමූර්ති මුරලිදරන්
වයිතලිංගම් සිදම්බරම්පිල්ලෙයි
වාද්දුවගේ මංජු ලලිත් වර්ණ කුමාර
වඩිගමංගාව ඒ.එච්.එම්.අශෝක ප්‍රේමලාල්
වඩිගමංගාව අබේසිංහ හේරත් මුදියන්සේලාගේ සද්ධාතිස්ස
වෛද්‍යරත්න නෝමන් ජේම්ස් වජිර අබේවර්ධන
වළගම්බාහු රාජප්‍රිය දයාරත්න
වල්පිටගම ආරියපාල
වනිගරත්න අහානා කපුගේ දොන්
වනිගසේකර ඩේවිඩ්
වනිගසේකර හරීෂ්
වන්නිආරච්චි ධර්මදාස
වන්නිනායක උක්කු බණ්ඩා
වන්නිනායක වන්නිනායක මුදියන්සේලාගේ හේරත් බණ්ඩා
වර්ණපාල වටරැකේ ආරච්චිලාගේ විශ්ව
වසන්ත යාපා බණ්ඩාර
වස්කඩුව ජේ.ගුණසේන ද සිල්වා
වීර කුමාර දිසානායක
වීරකෝන් අතුල ඉන්දික
වීරකෝන් බට්ටි
වීරකෝන් පුංචි බණ්ඩා ඇලෝසියස්
වීරසේකර ජිනදාස දොන්
වීරසේකර වීරසේකර මුදියන්සේලාගේ උක්කු බණ්ඩා
වීරසේකර ධනපාල පිලිප් රනිල්
වීරසිංහ හේරත් මුදියන්සේලාගේ
වීරසිංහ පුවක්දණ්ඩාව ජිනදාස
වීරසිංහ පුවක්දණ්ඩාව මුනේන්ද්‍රදාස දේවක
වීරසිංහ වීරසිංහ මුදියන්සේලාගේ ලීලානන්ද
වීරසුමන වීරසිංහ
වීරවර්ධන එදිරිවීර
වේහල්ල කංකානම්ගේ ඉන්දික
වෙලගෙදර සරත් චන්ද්‍ර බණ්ඩාර
වෙලගෙදර වෙලගෙදර මුදියන්සේලාගේ ඩිංගිරි බණ්ඩා
වෙලේගම වීරකෝන් මුදියන්සේලාගේ රාජා
වැලිගොඩගේ සමන් රත්නප්‍රිය සිල්වා
වේරගම විලියම් හැරල්ඩ්
වේරපිටිය ටිකිරි බණ්ඩා
වෑත්තෑව ගම්ලත් රැල්ලගේ පුංචි බණ්ඩා
වික්‍රමනායක සෝමා
වික්‍රමනායක වින්සන්ට් ස්ටුවර්ට් ද සිල්වා
වික්‍රමරත්න දොඩංගොඩගේ දොන් එඩ්වින්
වික්‍රමසිංහ ගීකියනගේ දොන් හර්බට්
වික්‍රමසිංහ දියුනුගල්ලගේ පීටර්
වික්‍රමසූරිය පෙරුමාබදු පියසේන
වික්‍රමරත්න කිංස්ලි තිස්ස
වික්‍රමසිංහ සුගීස්වර අබේවර්ධන
වික්‍රමසිංහ දයානන්ද අබේවර්ධන
වික්‍රමසිංහ ඩොරීන් විනිෆ්‍රඩ්
වික්‍රමසිංහ ගෝවින්නගේ විමල් පද්මසිරි
වික්‍රමසිංහ පර්සි අබේවර්ධන
වික්‍රමසිංහ විල්සන් පුන්නසෝම අබේවර්ධන
වික්‍රමතිලක චාල්ස් ඩයස්
වික්‍රමතිලක එඩ්වඩ් ඩයස්
විජයදාස රාජපක්ෂ
විජයපාල ශ්‍රී නාරායන වාසල බණ්ඩාරනායක මොහොට්ටාලලාගේ සීතා කුමාරි අරඹේපොල
විජයරත්න එඩ්වින් ඇලෝසියස් පෙරේරා
විජයසිංහ විජයබාහු
විජයවර්ධන රන්ජන්
විජයවර්ධන කොටවිල විතානගේ චාල්ස් ජස්ටින්
විජේගුණරත්න සමරවීර මුදලිගේ දොන් රෙජිනෝල්ඩ් වැලන්ටයින්
විජේකෝන් මුදියන්සේලාගේ ජයසුන්දර
විජේකෝන් සරණසිරි බණ්ඩාර
විජේකෝන් විජේකෝන් මුදියන්සේලාගේ උක්කු බණ්ඩා
විජේමාන්න වින්සන්ට් ලියොනල්ඩ්
විජේනායක කේ.පියසිරි
විජේරත්න බණ්ඩා ජම්බුගහපිටිය ගෙදර
විජේරත්න බණ්ඩා කොටුගොඩැල්ල යාපා මුදියන්සේලාගේ
විජේරත්න මහේන්ද්‍ර සුරසිංහ
විජේරත්න රන්ජන්
විජේසේකර ගාමිණී චන්ද්‍ර
විජේසිංහ කුරුප්පු අප්පුහාමිලාගේ ලීලාරත්න
විජේසිංහ මුතුකුඩ ආරච්චිගේ ජයසිංහ
විජේසිංහ පියදාස
විජේසිරි ලෝහිනී මහේස්වේරි ඊරියගම
විජේසිරි රන්කෙත්තගේ ප්‍රේමචන්ද්‍ර
විජේසුන්දර පුංචි බණ්ඩාර
විජේසූරිය හෙන්රි එඩ්මන්ඩ්
විජේතුංග විජේතුංග මුදියන්සේලාගේ ඩිංගිරි බණ්ඩා
විජේවර්ධන මීලියද්දේ දේවගේ සමරපාල
විජේවර්ධන විමලා
විජයරත්න නිශ්ශංක පරාක්‍රම
විල් ජෝර්ජ් ඇල්ෆ්‍රඩ් හෙන්රි
විලියම් තෝමස් තංගතුරෙයි
විමල් වීරවංශ
විමලනාග පොල්වත්තේගමගේ ඔස්මන්ඩ්
විමලසේන දහම්කිත් චන්ද්‍රමානී
විමලසේන නැනෙදිරි
විමලසිරි හඳුන්නෙත්ති රන්නුලු
විමලසුරේන්ද්‍ර දේවපුර ජිනසේන
විතාන පතිරණගේ මිලාන් සජිත් ජයතිලක
වල්ජේසිංහ චන්ද්‍රසේන දොන්
වයි.ජී. පද්මසිරි
යදාමිණි නරෝදමා රූපසිංහ ගුණවර්ධන
යාලේගම මනම්පේරි මුදියන්සේලාගේ බන්දුල සෙනරත් බණ්ඩාර
යාලේගම මනම්පේරි මුදියන්සේලාගේ සමරරත්න බණ්ඩාර
යාපා මුදියන්සේලාගේ නවරත්න බණ්ඩා
