ඒ.එච්.එම්.එච්. අබයරත්න
බස්නායක මුදියන්සේලාගේ දිල්හාන් තාරානාත් බස්නායක
බස්නායක යසරත්නලාගේ ගුණපාල රත්නසේකර
බස්නායක බන්දුල
බස්නායක බස්නායක අප්පුහාමිලාගේ ඒබ්‍රහම් තිසේරා
බැස්ටියන් අනුර
බටුවන්තුඩාවේ චාල්ස්
බටුවන්තුඩාවේ උපාලි
බෞද්ධසාර පුස්සේවෙල ලියනගේ
බෙලිගම්මන රත්නායක මුදියන්සේලාගේ චන්ද්‍රසේන රත්නායක
කළු ක්ලෙමන්ට් ජොන්ස්ටන්
බෝපාගොඩ හෙට්ටිආරච්චිගේ විජේපාල
බ්‍රෝහියර් එරික් ස්ටැන්ලි
බුද්ධික පතිරණ
බුහාර්දීන් එන්.එම්.
බුලන්කුලමේ පුංචි බණ්ඩා
බුවනසුන්තරරාජා ත්‍යාගරාසා
කාදර් ඊබ්‍රාහිම් අදහාම් අබ්දුල්
කනගරත්නම් මයිල්වාගනම්
කනගරත්නම් සින්නකුට්ටි ඔඩයාර්
කනගසබාපති විශ්වලිංගම් වික්නේෂ්වරන්
Carron Thomas Vernon Koertsz
කැරී මොරිස් ජෝන්
කැසිනේඩර් ගුණරාසා කුමාරයා
චක්‍රවර්ති පණ්ඩුකාභය ඩයස් බණ්ඩාරනායක
චමල් රාජපක්ෂ
චන්දිම වීරක්කොඩි
චන්ද්‍ර නේරු ආරියනායගම්
චන්ද්‍රජිත් ආශුබෝධ මාරසිංහ
චන්ද්‍රකුමාර් මුරුගේසු
චන්ද්‍රනේරු චන්ද්‍රකාන්තන්
චන්ද්‍රපාල දෙබහේපුවේ මුදියන්සේලාගේ
චන්ද්‍රසේකර හේරත් හිටිහාමි කෝරළගේ සමන්සිරි
චන්ද්‍රසේකර රෝහිත බණ්ඩාර බෝගොල්ලාගම
චන්ද්‍රසිරි දම්පහලගේ දොන් සෝමවීර
චන්ද්‍රසිරි සෝමවීර
චන්න සුදත් ජයසුමන
චතුර සංදීප සේනාරත්න නම්බුකාර හැලඹගේ
චෙල්වනායගම් සැමුවෙල් ජේම්ස් වේළුපිල්ලේ
චින්තක අමල් මායාදුන්න
චොක්සි කයිර්ෂාස්ප් නාරිමන්
චූල බණ්ඩාර රත්නායක මුදියන්සේලාගේ රංජිත්
කොල්ලුරේ ඩැරල් චන්ද්‍ර රාජා
කූම්බේ රොබට් ගෝර්ටන්
කුරේ බුලත්සිංහලගේ සිරිසේන
කුරේ එඩ්වඩ් ඒබ්‍රහම්
කුරේ මාන්නමරක්කලගේ මර්වින් ජෝශප්
කුරේ නාවලගේ බෙනට්
කුරේ පේස්ටරුවැලියනරැල්ලගේ ඇන්ඩෘ
කොරියා ජෝර්ජ් ක්ලෝඩ් ස්ටැන්ලි
කොරයා හරින්ද්‍ර ජයන්ති
කොරයා ශ්‍රීකුමාරදාස චාල්ස් ෂර්ලි
සිරිල් පටබැඳි මද්දුම බදුගේ
ඩී වීරසිංහ
ඩී.බී. හේරත්
ඩී.එම්. ස්වාමිනාදන්
දහනායක විජයානන්ද
දහනායක විජේසේකර සුමනපාල
ඩැනියෙල් මහහිතන ආරච්චිගේ
ඩැනියෙල් මහහිතන ආරච්චිගේ අනුර
ඩැනියෙල් මහහිතන ආරච්චිගේ රූපා ශ්‍රියානි
දසනායක දසනායක මුදියන්සේලාගේ
දසනායක කේ.එච්.ඩබ්ලිව්. සෝමසාර
දසනායක දසනායක මුදියන්සේලාගේ ආනන්ද
දසනායක දසනායක මුදියන්සේලාගේ ලොකු බණ්ඩා
දසනායක දසනායක මුදියන්සේලාගේ ශාන්ත කුමාර
දසනායක හෙවනනාආරච්චිගේ අයිවන් ටිඩී
දසනායක උපාලි මර්වින් සෙනරත්
දසනායක ස්ටීවන් විලියම්
දයා ගමගේ
අක්මීමන දයාරතන හිමි
ද අල්විස් මහා අමරසිංහගේ ආනන්දතිස්ස
ද අල්විස් විලියම් නීල්
ද ෆොන්සේකා කළුතරවැඩගේ දීපාල් සුසන්ත
ද මෙල් හෙන්රි ලෝසන්
ද මෙල් හියු එඩ්මන්ඩ් පීටර්
ද මෙල් රෙජිනෝල්ඩ් ඒබ්‍රහම්
ද මෙල් Ronald Joseph Godfrey
ද මෙල් විදානේලාගේ විමලසිරි ප්‍රේමනාථ
ද සිල්වා ආතර් හියුබට්
ද සිල්වා චාල්ස් එඩ්වඩ් පෙරී
ද සිල්වා චාල්ස් පර්සිවල්
ද සිල්වා කොල්වින් රෙජිනෝල්ඩ්
ද සිල්වා දංගෙදර ගමගේ ඇල්බට්
ද සිල්වා එඩ්මන්ඩ් Fredrick Lorenz
ද සිල්වා ජෝර්ජ් එඩ්මන්ඩ්
ද සිල්වා ජෝර්ජ් රෙජිනෝල්ඩ්
ද සිල්වා ගෝනපීනුවල විතානගේ සිරිසේන
ද සිල්වා හෙට්ටිහේවගේ චන්ද්‍රමණ්ඩේ
ද සිල්වා කුට්ටි චූලානන්ද
ද සිල්වා ලොකුගේ චන්ද්‍රදාස
ද සිල්වා මාකලන්දගේ ජෝශප්
ද සිල්වා මෙරිල් වර්නොන්ඩේ
ද සිල්වා පේදුරු හේවා විලියම්
ද සිල්වා පෙට්ටගන් අශෝක වීරසිංහ
ද සිල්වා පෙට්ටගන් ඩෙඩ්‍රෙක් වීරසිංහ
ද සිල්වා රුවන්පුර ලක්ෂ්මන්දේ
ද සිල්වා වලිනෙට්ටි ඩැනිස්ටර්
ද සිල්වා වොල්වින් ආර්නෝල්ඩ්
ද සිල්වා විල්මට් ආතර්
ද සිල්වා යකුපිටි පියසේන
ද සොයිසා අගම්පොඩි පවුලස්
ද සොයිසා අජන්තා ප්‍රැන්සිස්
ද සොයිසා එරත්නවල්ලි ඉන්ද් රසේනදේ
ද සොයිසා ප්‍රැන්සිස්
ද සොයිසා ගරුමුණි ආතර් වික්‍රමරත්න
ද සොයිසා ගරුමුණි රොබට්
ද සොයිසා හොණ්ඩමුණි ඉයන් ඇලෝසියස්
ඩී සොයිසා මනමැල්දුර පියදාස
ද සොයිසා රන්නුලු නන්දිමිත්‍ර ජී.
ද සොයිසා ස්ටැන්ලි
දෙහිවල ලියනගේ එඩ්වඩ් ගුණසේකර
දෙල්ලබඩ බටවලගේ අශෝක ජයවර්ධන
දෙළුන්ගහවත්ත විජේතුංග මුදියන්සේ රාළහාමිලාගේ සිරිසේන බණ්ඩාර
දේවනායගම් කනපතිපිල්ලේ විලියම්
දේවරාජ් පෙරියන්නන් පිල්ලේ
ඩිව් ගුණසේකර
ධර්මලිංගම් විශ්වනාදර්
ධර්මපාල කැන්දඋඩ ආරච්චිගේ
ධර්මරත්නම් සබාපතිපිල්ලේ
ධර්මවර්ධන වෙන්ඩකෝන් මුදියන්සේලාගේ සුජාතා කාන්තිමතී
ඩයස් දොන් වින්සන්ට්
දිඹුලේන් එඩ්මන්ඩ් බර්නාඩ්
දිනේන්ද්‍ර රුවන් විජේවර්ධන
දිනේෂ් චන්ද්‍ර රූපසිංහ ගුණවර්ධන
දිසානායක මුදියන්සේලාගේ ජයරත්න
දිසානායක විමලවීර
දිසානායක බර්ටි ප්‍රේමලාල්
දිසානායක දිසානායක මුදියන්සේලාගේ ඇන්ඩෘ
දිසානායක දිසානායක වන්නෝකුරලලාගේ අමර භද්‍ර
දිසානායක හෙන්රි විලියම්
දිසානායක ජයසිංහ මුහන්දිරම් ඩොනල්ඩ්
දිසානායක ලලිත්චන්ද්‍ර බුද්ධිසිරි
දිසානායක ලයනල් ගාමිණී
දිසානායක මුදියන්සේගේ සුද්දහාමි
දිසානායක පුංචි බණ්ඩා
දිසානායක උපාලි නවරත්න බණ්ඩාර
දිසානායක වීරසූරිය දිසානායක මුදියන්සේලාගේ පුංචි බණ්ඩා
දොඩම්ගොඩ දිනේෂ් දුෂ්‍යන්ත
දොඩම්ගොඩගේ දොන් විජේපාල වික්‍රමරත්න
දොන් චන්දිම ගමගේ
ඩග්ලස් දේවානන්ද
ඩ්‍රහමන් මොහොමඩ් පර්විස්
දුමින්ද දිසානායක
දුනේෂ් ගන්කන්ද
දුනුතිලක මුදියන්සේලාගේ රේණුකා මැණිකේ හේරත්
දුනුවිල්ලේ ටිකිරිබණ්ඩා හරින්ද්‍රනාත්
දුරෙයිස්වාමි වයිටියලිංගම්
දොරේඅප්පා ඇල්ෆ්‍රඩ් තංගරාජා
අර්ල් සරත් වික්‍රමසිංහ ගුණසේකර
ඊස්වරපතම් සරවනපවන්
ඊබ්‍රහිම් මීරක්කුඩි මොහොමඩ්
එදිරිසූරිය චාල්ස් ෆ්‍රැන්සිස් වර්ණකුල
එදිරිසූරිය ටෙනිසන්
එදිරිවීර මධුරපාල
ඒකනායක ටී.බී.
ඒකනායක විල්ප්‍රඩ් බණ්ඩාර
ඒකනායක අප්පුහාමිගේ ඩිංගිරි බණ්ඩා
ඒකනායක ඒකනායක මුදියන්සේලාගේ හේරත් බණ්ඩා
ඒකනායක ඒකනායක මුදියන්සේලාගේ රන් බණ්ඩා
ඒකනායක ඒකනායක මුදියන්සේලාගේ සුදු බණ්ඩාර
ඒකනායක කරප්පේරු විජේතුංග රාජපක්ෂ මුදියන්සේලේ
එල්ලාවල නාලන්ද සම්පත්
එල්ලාවල නන්දා සිඩ්නි
එල්ලාවල සුරංගනී
එරාන් වික්‍රමරත්න
එරන්ජන් නවීන් දිසානායක
එතිර්මනසිංහම් සෝමසුන්දරම් උදයාර්
ෆරීඩ් රාසික්
ෆාරුක් උනුස් ලෙබ්බේ මොහොමඩ්
ෆීලික්ස් පෙරේරා
සාමාජිකයින්-ගෝර්ඩන් අබ්ඩි
ෆෙරියල් ඉස්මයිල් අෂ්රොෆ්
ප්‍රනාන්දු ඇන්ඩිගේ ජිනදාස
ප්‍රනාන්දු ඇලබඩගේ නිමල් උපතිස්ස
ප්‍රනාන්දු හෙක්ටර් හයිරොනිමස්
ප්‍රනාන්දු කච්චකඩුගේ ගොඩ්ෆ්‍රි ජෝශප්
