Index,Sinhala Comment
66,වැඩසටහන ඔක්කොමත් හරි නලින් සහෝදරයා ගේ අවසාන කරපු විදිය හොඳටම ඇතිමාලිමාවට ජයවේවා
67,වැඩසටහන ඔක්කොමත් හරි නලින් සහෝදරයා ගේ අවසාන කරපු විදිය හොඳටම ඇතිමාලිමාවට ජයවේවා
68,හර්ෂණගේ රැල්ල නිකං වල වගේ
69,සදහටම මාලිමාව
70,කොන්ද පන තියෙන කෙලින් මනුෂ්යත්වය සුරංග
71,සටන බලල තියෙන්නෙ මාලිමාවෙ සෙට් එක විතරමයි වගේ
72,සුරංග නම් නියමයි
73,කෑගල්ලේ බොග් බොග් ගාන මෙලෝ දේශපාලන දැනීමක් නැති ළදරුවා පෙට්රෝලියම් එකේ ඩිරෙක්ටර් කමක් අරගෙන කඩේ යන වහල් කලු කෝට් කාරයා රෙදි ලෙෆ්ට්
74,සුරන්ග පිස්සෙක් වගේ පේන්නෙ මට විතරද
75,සමස්ථ දේශපාලන සංස්කෘතියේ වෙනස මනා සංයමයකින් ඉවසීමෙන් පැහැදිලි පිලිතුරු සැපයීම ක්ජයවේවා
76,සුරංග මහතා
77,මනෝජ් කියන්නේ නොදන්න දෙයියා ට වඩා දන්න යකාට කතිරේ ගහපං කියලා පිස්සු පූසෙක්
78,මම මේක එදා ඉඳන්ම බලන්නේ ඉස්සර ඉඳන්ම සුරංගයි නිශාන්ත රණතුංගයි නිසා
79,සුරංග ජනතාවගේ මාධ්යවේදීයා
80,මධ්යවේදින් අතර නියම මධ්යවෙදියෙක්
81,මෙවර මහා මැතිවරණය බූවල්ලන් දේශපාලනයට ගෙන එමෙන් හා පවුල් කල්ලි වලින් රට බේරා ගැනීමට ඔබේ චන්දය පාවිච්චි කරන්න
82,හොඳම උදාහරණය හිටපු කතානායක ගේ පව්ලේ සියලුදෙනා තම දූර කාලයතුල තනතුරු තානාන්තර ලබාදීම හෝ ලබා ගැනීම නවතා දැමිය යුතුය
83,නොදකින් සිංහල කැරියො තොපිට තාමත් මොලේ පෑදෙන්නැහැ කියන්නෙ තොපි හැමෝම අවජාතක පකයි වරෙන් ඔින ඵකෙක් කතා කරන්න තූ නොදකින් තොපි
84,මේ වගේ වැඩසටහනක් මනුස්සයෙක් බලන්න ඕනාසැබෑ යථාර්ථය පේන්නසේරම බෝල පාස් කරනවාකාලකන්නිමුන්ට තවත් ඡන්ද දෙන එවුන් කලවම් ලේ වල ඉපදිච්ච එවුන් තමාඅපි අපේ රටට ආදරෙයි
85,සුරංග ඔයා මාධ්යවේදියෙක් හැමදාම කොන්ද කෙලින් තියාම වැඩ කරන්නජය වේවා
86,ඔමායාට ප්රශ්න අහන්න දීපියව්
87,මාලිමාව ට ජයවේවා
88,හැම දිස්ත්රික්කයකටම දාල තියෙන්නේ දන්න අය විතරක් නොවේදක්ෂයෝගොබ්බෝ නෙවෙයි
89,අනිත් අය සේරම යන්නෙ කොහෙද මල්ලෙපොල් කියවනවා නලින් මහත්මයා පමනයි කෙලින් කතාකලේ ජයවේවා
