Index,Sinhala Comment
84,අවුරුදු විස්සක් ඉන්න උබ හිතුවද අනුරයා රාජපක්ශ ප්රේමදාස කියලායකෝ අවුරුදු ක් ඉන්නනන් අවුරුදු කවත් වැඩ කරන්න ඕනෙකටින් වැඩ නෙමේඅරුන් මොන ජඩ වැඩේ කරත් එච්චර කල් හිටියෙ එකෙක් යුද්දෙ ඉවර කරාඅනිකා නගර ටික ගම්වැව් ටික සංවර්දනය කරලා ජවිපෙ භීශනේ ඉවර කරාඒ නිසා නිකන් සුරංගනා කතා කියන්න එපාමිලිටරි ජුන්ටා හදන්න හිතන් ඉන්නවන් පවු බං උබලා
85,අවුරුදු ක් බලාන ඉන්න මෙ රට ඉතුරු කරන්නේ නැ බ්රො ඩයස්පෝරාව එතකොට සමලිංගික සෙට් එක තව නිරාගමික සෙට් එක එතකොට ඉංදියාව රට අල්ලනවා මචං
86,කොස්පොලොස් වත්ත උබටයි මටයි අවුරුදු බලාන ඉන්න මෙ රට ඉතුරු වෙන්නෙ ඩයස්පෝරාවට අනුරයා ලියලා දෙනවා හොදම ටික බලාගන්න පුළුවං අන්තිම අවුරුද්දේ දැනටම ඉංදියාවට බාගයක් දීලා ඉවරයි උබලා වැඩ්ඩෝ වගේ කයිය ගැහුවට උබලා දන්නවද ඉංදියාවත් එක්ක ගහපු හොර ගිවිසුම් මොනවද කියලා
87,ජයවේවා අර්ජුනා
88,අර්චුනා මහත්තයා ට ලක්ෂ පහක් හම්බවෙනව නම් අනිත් මන්ත්රිවරැන්ටත් ඒකම ලැබෙනව ඇති ඔෆිස් එකක් නැතුව ලක්ෂයක් ගන්න හැමෝටම නීතිය ක්රියාත්මක කරන්න
89,අර්ජු ඇත්ත හොඳට අහන්න පිස්සු කියන්න උගත් කෙනෙක් ඔක්කොම ඇත්ත සිහි බුද්ධියෙන් අහන්න පාට කණ්නාඩි ගලවා
90,අප්පටහුඩු දැන් වල බයියො කොටියො වෙලා මුන් නම් තම තමන්ගෙ හොර නායකන් බලයට පත් කරගන්න තමන්ගෙ ආගම ජාතිය වුනත් පාවා දෙන ජාතියක් මේ බයි ජාතිය
91,නියමයි
92,පොලිටිස් කරලා නෑ මෝඩයා
93,මේ මනුස්සයා ඇත්ත කියන්නෙ මේ කාලකන්නි ආන්ඩුව පන්නන්න ඕනා
94,නෝමොලයා හෝ පුචානෝද
95,ආශය්නේ බලං හිටහංකො
96,ඇත්ත කියනවා පකක් ආන්ඩුව පන්නලා උබේ තාත්තව ගේන්නද උඩ පනින්නෙ නැතිව ඉදපන්
97,කොඩකින් මෝඩයා ඕකා කොටියා
98,යකො නාමල් ඉපදිලත් නැ තාත්තා මරන කොට
99,කතව තෙරුම්ගනින් බන්
100,ඒක ඇත්තටම ඇත්ත
101,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
102,මු කියන කතාව ඇත්ත අනුර ජර්මන් ගිහින් කරපු මගුලක් නැ
103,සල්ලි එකතු කරගන්න යන්න ඇති
104,ඇයි යකෝ කෙහෙලියට විරුද්ධව රිපෝට් එක අරං ආවේඑ මදිද
105,කෙඳිරි ගෑමට නුඹට අයිතියක් ඇත
106,මූ කියන ඒවාත් කරන අපේ උන් ඉන්න්න එක ගැන පුදුමයි
107,මේ තැනට රට ගෙනාවෙ කව්ද කියලා මතක් කරහන්
108,මු නියමයි
109,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
110,මූ කියන කතාව ඇත්ත තමයි
111,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
112,පුදුම එකක් වෙලාව නැ වෙලාව නැ හැමදාම නැ
113,එවුන්ගෙ ඇත්ත හෙලිවෙයි කියලා
114,පල් හෑලි කියන අයට වෙලාව කන්න දෙනවා වැදගත් කතාවක් කියන විට වෙලාව ඉවරයි කියල තත්පරෙට කපන්න නලියනව
115,විපක්ෂ නායක මෙයාටත් පොඩි වෙලාවක් දෙන්න පාර්ලිමේන්තුවේ කතා කරන්න මෙයා හයියෙන් කියන්න කියන්න නේද කියන දේවල් තේරුම් ගන්න අමාරුයි ඇත්තද බොරුද බලාගන්නට මෙයාල ටයිම් එකක් දෙන්න හරියට කතා කරොත් හොඳ දේවල් කියයි
116,ඒව කරන්න තමයි ලණු කාපු මිනිස්සු පොලිමේ ගිහින් අං එක්ක ගොං රැලක් පත් කරල තියෙන්නෙ
117,අර්චුනා ජයවේවා
118,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
119,මෙයා ඇත්තටම මිනිස්සුන්ට ආදරෙයි
120,නොඩකින් මෝඩයා ඕකා කොටියා
121,මිනිස්සු රවට්ටන පච මාළු මාවෙ රෙදි ඉල්ලේ
122,මු තම්යි එක
123,බයියොන්ට කැරට්
124,මී පැනිඇත්ත කියනකොටපචකියනවානම් තිත්තයි
125,අනුර සිගිති පුතා
126,පිස්සෙක්
127,පචයද
128,අනිවා හරියටම හරි බලපුවාම මූ කියන කතාව
129,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
130,අර්චුනා කියන කතාව ඇත්ත
131,කොඩකින් මෝඩයා ඕකා කොටියා
132,මූට ඕනෙ කොහොමහරි විශ්වාසභංගෙකින් හරි පාර්ලිමේන්තුවෙන් අයින් වෙලා උතුරු නැගෙනහිර මහ ඇමති වෙන්න ඒකයි මූ මෙච්චර පිස්සු නටන්නෙඅර්චුනාට යන්ඩ දෙන්න හොද නෑඅර්චුනා නැති පාර්ලිමේන්තුවෙ කිසි ජොලියක් නෑ
133,වූ මාළු මාවෙ රෙදි ගැලෙව්වා පච මාළු මාවට බනිනකොට උබලට ඉන්න බෑනෙ ගූ කාපන් අනුරගෙ වූ තමයි කොටියා ඩයස්පෝරාවෙ සල්ලි අරන්
134,පලයං පලයං බූරු හරක වැඩක් බලාගෙන තැනක් නොතැනක් නැතුව කුණුහරුප කියන අසීලාචාර තෝ වගේ සත්තුන්ව ගණන් ගන්නෙ නෑ
135,ආ ඒකට කමක් නැ අපිමාලුමාවට කයන එවුන් බං
136,ඇත්තටම හරි
137,මේකව ඩයස්පෝරාවට අපනයනය කරල කීයක් හරි හොයාගන්ඩ බැරි වෙයිද
